"",46.800
0.0000,0.0000E+000
1.0000,3.4481E+002
2.0000,3.5725E+002
3.0000,3.5523E+002
4.0000,3.4776E+002
5.0000,3.3895E+002
6.0000,3.5523E+002
7.0000,3.6130E+002
8.0000,3.2324E+002
9.0000,3.1952E+002
10.0000,3.2889E+002
11.0000,3.4041E+002
12.0000,3.1720E+002
13.0000,3.3944E+002
14.0000,3.2418E+002
15.0000,3.2138E+002
16.0000,3.3461E+002
17.0000,3.4826E+002
18.0000,3.2842E+002
19.0000,3.1399E+002
20.0000,3.1399E+002
21.0000,3.1399E+002
22.0000,3.1216E+002
23.0000,3.1399E+002
24.0000,3.3079E+002
25.0000,3.4041E+002
26.0000,3.3509E+002
27.0000,3.2984E+002
28.0000,3.4628E+002
29.0000,3.3702E+002
30.0000,3.3847E+002
31.0000,3.3702E+002
32.0000,3.2889E+002
33.0000,3.4138E+002
34.0000,3.4776E+002
35.0000,3.1905E+002
36.0000,3.3750E+002
37.0000,3.1582E+002
38.0000,3.3799E+002
39.0000,3.4334E+002
40.0000,3.4481E+002
41.0000,3.3895E+002
42.0000,3.2747E+002
43.0000,3.2889E+002
44.0000,3.3993E+002
45.0000,3.3944E+002
46.0000,3.4334E+002
47.0000,3.4925E+002
48.0000,3.3606E+002
49.0000,3.4138E+002
50.0000,3.2606E+002
51.0000,3.3127E+002
52.0000,3.1307E+002
53.0000,3.1353E+002
54.0000,3.0628E+002
55.0000,3.0673E+002
56.0000,3.1171E+002
57.0000,3.3031E+002
58.0000,3.2747E+002
59.0000,3.4236E+002
60.0000,3.4236E+002
61.0000,3.3127E+002
62.0000,3.2277E+002
63.0000,3.3031E+002
64.0000,3.3413E+002
65.0000,3.4285E+002
66.0000,3.4530E+002
67.0000,3.4530E+002
68.0000,3.3031E+002
69.0000,3.1171E+002
70.0000,3.0494E+002
71.0000,3.2091E+002
72.0000,3.1720E+002
73.0000,3.3606E+002
74.0000,3.1491E+002
75.0000,3.1628E+002
76.0000,3.2277E+002
77.0000,3.2465E+002
78.0000,3.2044E+002
79.0000,3.1998E+002
80.0000,3.2653E+002
81.0000,3.3318E+002
82.0000,3.2184E+002
83.0000,3.1859E+002
84.0000,3.1125E+002
85.0000,3.1216E+002
86.0000,3.0808E+002
87.0000,3.1399E+002
88.0000,3.1080E+002
89.0000,3.1262E+002
90.0000,3.2091E+002
91.0000,3.2465E+002
92.0000,3.1813E+002
93.0000,3.1080E+002
94.0000,3.1582E+002
95.0000,3.1998E+002
96.0000,3.2184E+002
97.0000,3.2512E+002
98.0000,3.2889E+002
99.0000,3.2747E+002
100.0000,3.3993E+002
101.0000,3.3461E+002
102.0000,3.1813E+002
103.0000,3.4974E+002
104.0000,3.4727E+002
105.0000,3.5123E+002
106.0000,3.4041E+002
107.0000,3.4383E+002
108.0000,3.3750E+002
109.0000,3.4090E+002
110.0000,3.4236E+002
111.0000,3.4432E+002
112.0000,3.5223E+002
113.0000,3.5977E+002
114.0000,3.3461E+002
115.0000,3.3557E+002
116.0000,3.3222E+002
117.0000,3.3461E+002
118.0000,3.3702E+002
119.0000,3.3031E+002
120.0000,3.4727E+002
121.0000,3.3993E+002
122.0000,3.5624E+002
123.0000,3.3944E+002
124.0000,3.5826E+002
125.0000,3.5826E+002
126.0000,3.5977E+002
127.0000,3.6487E+002
128.0000,3.4776E+002
129.0000,3.5223E+002
130.0000,3.4875E+002
131.0000,3.4530E+002
132.0000,3.3606E+002
133.0000,3.3031E+002
134.0000,3.3750E+002
135.0000,3.3750E+002
136.0000,3.4187E+002
137.0000,3.3365E+002
138.0000,3.4776E+002
139.0000,3.5927E+002
140.0000,3.5123E+002
141.0000,3.5523E+002
142.0000,3.4925E+002
143.0000,3.4727E+002
144.0000,3.4530E+002
145.0000,3.5624E+002
146.0000,3.5323E+002
147.0000,3.4530E+002
148.0000,3.5473E+002
149.0000,3.5123E+002
150.0000,3.6180E+002
151.0000,3.4974E+002
152.0000,3.5074E+002
153.0000,3.6079E+002
154.0000,3.8366E+002
155.0000,3.8154E+002
156.0000,3.8101E+002
157.0000,3.7679E+002
158.0000,3.7679E+002
159.0000,3.7313E+002
160.0000,3.8366E+002
161.0000,3.6898E+002
162.0000,3.6028E+002
163.0000,3.6282E+002
164.0000,3.6130E+002
165.0000,3.5123E+002
166.0000,3.5826E+002
167.0000,3.6898E+002
168.0000,3.7054E+002
169.0000,3.6028E+002
170.0000,3.6744E+002
171.0000,3.6950E+002
172.0000,3.6847E+002
173.0000,3.6487E+002
174.0000,3.6079E+002
175.0000,3.5977E+002
176.0000,3.6384E+002
177.0000,3.6028E+002
178.0000,3.6950E+002
179.0000,3.6282E+002
180.0000,3.7209E+002
181.0000,3.6231E+002
182.0000,3.5927E+002
183.0000,3.6641E+002
184.0000,3.7995E+002
185.0000,3.7002E+002
186.0000,3.6898E+002
187.0000,3.7522E+002
188.0000,3.8633E+002
189.0000,3.9822E+002
190.0000,3.8633E+002
191.0000,3.9386E+002
192.0000,3.9822E+002
193.0000,3.9062E+002
194.0000,3.6744E+002
195.0000,3.7679E+002
196.0000,3.8847E+002
197.0000,3.8526E+002
198.0000,3.8260E+002
199.0000,3.8472E+002
200.0000,4.2169E+002
201.0000,3.8686E+002
202.0000,2.5756E+002
203.0000,3.9278E+002
204.0000,3.8686E+002
205.0000,3.7679E+002
206.0000,3.7679E+002
207.0000,3.8313E+002
208.0000,3.8419E+002
209.0000,3.7942E+002
210.0000,3.6950E+002
211.0000,3.6950E+002
212.0000,3.9278E+002
213.0000,3.9278E+002
214.0000,3.6795E+002
215.0000,3.7209E+002
216.0000,3.6333E+002
217.0000,3.7002E+002
218.0000,3.7209E+002
219.0000,3.6847E+002
220.0000,3.7837E+002
221.0000,3.7679E+002
222.0000,3.7105E+002
223.0000,3.6795E+002
224.0000,3.7470E+002
225.0000,3.8101E+002
226.0000,3.8847E+002
227.0000,3.7627E+002
228.0000,3.7784E+002
229.0000,3.7470E+002
230.0000,3.7209E+002
231.0000,3.8154E+002
232.0000,3.9224E+002
233.0000,3.7105E+002
234.0000,3.8633E+002
235.0000,3.7157E+002
236.0000,3.7261E+002
237.0000,3.7365E+002
238.0000,3.8154E+002
239.0000,3.6538E+002
240.0000,3.8419E+002
241.0000,3.7995E+002
242.0000,3.6795E+002
243.0000,3.6950E+002
244.0000,3.8048E+002
245.0000,3.8366E+002
246.0000,3.7522E+002
247.0000,3.5977E+002
248.0000,3.5423E+002
249.0000,3.4334E+002
250.0000,3.5876E+002
251.0000,3.5574E+002
252.0000,3.5876E+002
253.0000,3.7002E+002
254.0000,3.8048E+002
255.0000,3.4875E+002
256.0000,3.5273E+002
257.0000,3.6950E+002
258.0000,3.4138E+002
259.0000,3.6028E+002
260.0000,3.5624E+002
261.0000,3.6130E+002
262.0000,3.6282E+002
263.0000,3.7418E+002
264.0000,3.8313E+002
265.0000,3.8847E+002
266.0000,3.8686E+002
267.0000,3.7679E+002
268.0000,3.7784E+002
269.0000,3.8526E+002
270.0000,3.8366E+002
