"",46.800
0.0000,0.0000E+000
1.0000,4.8711E+000
2.0000,2.2991E+001
3.0000,2.7738E+001
4.0000,5.5313E+000
5.0000,-2.8799E-001
6.0000,2.6633E+001
7.0000,3.2130E+001
8.0000,-9.6497E+000
9.0000,-1.9759E+001
10.0000,-5.7167E+000
11.0000,3.4969E+000
12.0000,-2.0664E+001
13.0000,1.6042E+000
14.0000,-7.0610E+000
15.0000,-2.5874E+001
16.0000,-5.4613E-001
17.0000,2.6183E+001
18.0000,-5.8117E+000
19.0000,-3.3562E+001
20.0000,-2.4627E+001
21.0000,-1.5750E+001
22.0000,-2.6569E+001
23.0000,-2.4811E+001
24.0000,-4.4960E+000
25.0000,1.7178E+001
26.0000,1.9509E-001
27.0000,-6.5147E+000
28.0000,2.1159E+001
29.0000,3.4424E+000
30.0000,9.6413E+000
31.0000,3.9432E+000
32.0000,-4.5090E+000
33.0000,8.7980E+000
34.0000,4.2613E+001
35.0000,-4.7766E+001
36.0000,1.7236E+001
37.0000,-1.2177E+001
38.0000,1.3075E+001
39.0000,6.7010E+000
40.0000,6.5621E+000
41.0000,1.7229E+001
42.0000,-6.7005E+000
43.0000,-6.8774E+000
44.0000,5.9146E+000
45.0000,8.1351E+000
46.0000,1.1935E+001
47.0000,3.3695E+001
48.0000,3.7565E+000
49.0000,9.8722E+000
50.0000,-1.0977E+001
51.0000,-4.0767E+000
52.0000,-4.5034E+001
53.0000,-1.9288E+001
54.0000,-2.1940E+001
55.0000,-2.0019E+001
56.0000,-1.2768E+001
57.0000,-9.5126E-001
58.0000,-7.5323E+000
59.0000,1.0416E+001
60.0000,6.5781E+000
61.0000,-4.3188E-001
62.0000,-1.2067E+001
63.0000,-1.8935E+000
64.0000,1.9511E+000
65.0000,1.0978E+001
66.0000,2.1752E+001
67.0000,1.5700E+001
68.0000,-7.9002E+000
69.0000,-3.6880E+001
70.0000,-2.6762E+001
71.0000,-6.2633E+000
72.0000,-9.9659E+000
73.0000,4.2111E+000
74.0000,-1.3772E+001
75.0000,-9.9190E+000
76.0000,-1.0605E+001
77.0000,-1.2899E+001
78.0000,-9.8670E+000
79.0000,-1.5572E+001
80.0000,-1.7514E+001
81.0000,8.6631E-001
82.0000,-2.3024E+001
83.0000,-2.4604E+001
84.0000,-2.5735E+001
85.0000,-2.1425E+001
86.0000,-2.6860E+001
87.0000,-3.8469E+001
88.0000,-3.2679E+001
89.0000,-3.4975E+001
90.0000,-2.0222E+001
91.0000,-1.2500E+001
92.0000,-1.4187E+001
93.0000,-1.9000E+001
94.0000,-1.4870E+001
95.0000,-1.0276E+001
96.0000,-5.9320E+000
97.0000,-9.1323E+000
98.0000,-4.4943E+000
99.0000,-4.0434E+000
100.0000,1.0342E+001
101.0000,1.4074E+000
102.0000,-1.1688E+001
103.0000,1.5759E+001
104.0000,1.3485E+001
105.0000,7.0589E+001
106.0000,4.5242E+000
107.0000,2.3227E+001
108.0000,-5.2299E-002
109.0000,1.3586E+000
110.0000,3.3005E+000
111.0000,4.6674E+000
112.0000,2.4023E+001
113.0000,1.3080E+001
114.0000,-4.1464E+000
115.0000,-1.0435E+001
116.0000,-1.5527E+001
117.0000,-1.0936E+001
118.0000,-1.3458E+001
119.0000,-7.2219E+000
120.0000,2.8413E+000
