"",46.800
0.0000,0.0000E+000
1.0000,4.4271E+000
2.0000,2.7911E+001
3.0000,2.7255E+001
4.0000,3.1766E+000
5.0000,-1.2834E+000
6.0000,3.0630E+001
7.0000,3.8828E+001
8.0000,-1.0873E+001
9.0000,-2.2592E+001
10.0000,-1.0946E+001
11.0000,-1.0573E+001
12.0000,-2.2069E+001
13.0000,-4.3497E+000
14.0000,-1.0475E+001
15.0000,-3.0050E+001
16.0000,-7.5960E-001
17.0000,2.3684E+001
18.0000,-9.5113E+000
19.0000,-3.8236E+001
20.0000,-3.3205E+001
21.0000,-1.7929E+001
22.0000,-2.6967E+001
23.0000,-3.4960E+001
24.0000,-9.7900E+000
25.0000,-5.0277E+001
26.0000,-4.1682E-001
27.0000,-2.4310E+001
28.0000,4.7987E+000
29.0000,-3.5870E+000
30.0000,2.6888E+000
31.0000,-1.1529E+001
32.0000,-1.1357E+001
33.0000,7.4635E+000
34.0000,-4.3910E+001
35.0000,-8.6421E+001
36.0000,-7.8653E+001
37.0000,-1.3970E+001
38.0000,-2.7912E+001
39.0000,5.9123E+000
40.0000,6.2945E+000
41.0000,-7.0982E+000
42.0000,-9.1784E+000
43.0000,-9.2949E+000
44.0000,-3.0152E+000
45.0000,-1.2915E+001
46.0000,9.9127E+000
47.0000,-6.0486E+000
48.0000,-3.3023E+001
49.0000,-8.3230E+000
50.0000,-2.3306E+001
51.0000,-3.2659E+001
52.0000,-7.3626E+001
53.0000,-3.5365E+001
54.0000,-3.0781E+001
55.0000,-2.5439E+001
56.0000,-1.5041E+001
57.0000,-1.0680E+001
58.0000,-1.6954E+001
59.0000,3.3854E+000
60.0000,4.7455E-001
61.0000,-2.9399E+000
62.0000,-2.5465E+001
63.0000,-8.0353E+000
64.0000,-1.1972E+001
65.0000,6.2958E+000
66.0000,1.3646E+001
67.0000,7.5952E+000
68.0000,-3.2333E+001
69.0000,-6.4617E+001
70.0000,-3.7624E+001
71.0000,-7.7211E+000
72.0000,-1.0067E+001
73.0000,-1.4476E+000
74.0000,-1.6831E+001
75.0000,-1.1189E+001
76.0000,-1.5050E+001
77.0000,-3.7309E+001
78.0000,-1.7413E+001
79.0000,-2.5711E+001
80.0000,-2.9484E+001
81.0000,-1.1631E+001
