"",46.800
0.0000,0.0000E+000
1.0000,-3.3577E+002
2.0000,-3.3645E+002
3.0000,-3.3688E+002
4.0000,-3.3725E+002
5.0000,-3.3721E+002
6.0000,-3.3776E+002
7.0000,-3.3828E+002
8.0000,-3.3750E+002
9.0000,-3.3682E+002
10.0000,-3.3669E+002
11.0000,-3.3622E+002
12.0000,-3.3591E+002
13.0000,-3.3553E+002
14.0000,-3.3507E+002
15.0000,-3.3449E+002
16.0000,-3.3438E+002
17.0000,-3.3465E+002
18.0000,-3.3439E+002
19.0000,-3.3363E+002
20.0000,-3.3324E+002
21.0000,-3.3292E+002
22.0000,-3.3250E+002
23.0000,-3.3193E+002
24.0000,-3.3135E+002
25.0000,-3.3136E+002
26.0000,-3.3245E+002
27.0000,-3.3117E+002
28.0000,-3.3175E+002
29.0000,-3.3201E+002
30.0000,-3.3170E+002
31.0000,-3.3183E+002
32.0000,-3.3134E+002
33.0000,-3.3149E+002
34.0000,-3.3352E+002
35.0000,-3.3143E+002
36.0000,-3.3106E+002
37.0000,-3.3066E+002
38.0000,-3.3068E+002
39.0000,-3.3070E+002
40.0000,-3.3118E+002
41.0000,-3.3128E+002
42.0000,-3.3119E+002
43.0000,-3.3119E+002
44.0000,-3.3184E+002
45.0000,-3.3149E+002
46.0000,-3.3175E+002
47.0000,-3.3233E+002
48.0000,-3.3229E+002
49.0000,-3.3209E+002
50.0000,-3.3092E+002
51.0000,-3.3166E+002
52.0000,-3.3104E+002
53.0000,-3.3060E+002
54.0000,-3.3037E+002
55.0000,-3.2985E+002
56.0000,-3.2957E+002
57.0000,-3.2953E+002
58.0000,-3.3002E+002
59.0000,-3.2997E+002
60.0000,-3.3033E+002
61.0000,-3.3055E+002
62.0000,-3.3047E+002
63.0000,-3.3033E+002
64.0000,-3.3055E+002
65.0000,-3.3078E+002
66.0000,-3.3127E+002
67.0000,-3.3194E+002
68.0000,-3.3215E+002
69.0000,-3.3146E+002
70.0000,-3.3006E+002
71.0000,-3.3054E+002
72.0000,-3.3060E+002
73.0000,-3.3115E+002
74.0000,-3.3077E+002
75.0000,-3.3060E+002
76.0000,-3.3092E+002
77.0000,-3.3079E+002
78.0000,-3.3070E+002
79.0000,-3.3069E+002
80.0000,-3.3039E+002
81.0000,-3.3068E+002
82.0000,-3.3053E+002
83.0000,-3.3001E+002
84.0000,-3.2983E+002
85.0000,-3.2927E+002
86.0000,-3.2925E+002
87.0000,-3.2896E+002
88.0000,-3.2873E+002
89.0000,-3.2846E+002
90.0000,-3.2811E+002
91.0000,-3.2804E+002
92.0000,-3.2818E+002
93.0000,-3.2885E+002
94.0000,-3.2819E+002
95.0000,-3.2824E+002
96.0000,-3.2869E+002
97.0000,-3.2891E+002
98.0000,-3.2907E+002
99.0000,-3.2931E+002
100.0000,-3.3021E+002
101.0000,-3.3069E+002
102.0000,-3.3126E+002
103.0000,-3.3172E+002
104.0000,-3.3265E+002
105.0000,-3.3338E+002
106.0000,-3.3430E+002
107.0000,-3.3521E+002
108.0000,-3.3540E+002
109.0000,-3.3632E+002
110.0000,-3.3709E+002
111.0000,-3.3767E+002
112.0000,-3.3856E+002
113.0000,-3.3952E+002
114.0000,-3.4084E+002
115.0000,-3.4014E+002
116.0000,-3.4023E+002
117.0000,-3.4085E+002
118.0000,-3.4093E+002
119.0000,-3.4124E+002
120.0000,-3.4211E+002
121.0000,-3.4306E+002
122.0000,-3.4370E+002
123.0000,-3.4391E+002
124.0000,-3.4431E+002
125.0000,-3.4511E+002
126.0000,-3.4592E+002
127.0000,-3.4642E+002
128.0000,-3.4653E+002
129.0000,-3.4717E+002
130.0000,-3.4781E+002
131.0000,-3.4783E+002
132.0000,-3.4851E+002
133.0000,-3.4873E+002
134.0000,-3.4869E+002
135.0000,-3.4901E+002
136.0000,-3.5000E+002
137.0000,-3.5071E+002
138.0000,-3.5115E+002
139.0000,-3.5372E+002
140.0000,-3.5266E+002
141.0000,-3.5383E+002
142.0000,-3.5388E+002
143.0000,-3.5378E+002
144.0000,-3.5486E+002
145.0000,-3.5572E+002
146.0000,-3.5552E+002
147.0000,-3.5621E+002
148.0000,-3.5701E+002
149.0000,-3.5828E+002
150.0000,-3.5935E+002
151.0000,-3.6029E+002
152.0000,-3.6093E+002
153.0000,-3.6360E+002
154.0000,-3.6971E+002
155.0000,-3.7442E+002
156.0000,-3.7676E+002
157.0000,-3.8099E+002
158.0000,-3.8199E+002
159.0000,-3.8621E+002
160.0000,-3.8961E+002
161.0000,-3.7628E+002
162.0000,-3.7622E+002
163.0000,-3.7826E+002
164.0000,-3.7400E+002
165.0000,-3.7240E+002
166.0000,-3.7433E+002
167.0000,-3.7450E+002
168.0000,-3.7751E+002
169.0000,-3.7869E+002
170.0000,-3.7913E+002
171.0000,-3.7919E+002
172.0000,-3.7748E+002
173.0000,-3.7503E+002
174.0000,-3.7073E+002
175.0000,-3.7237E+002
176.0000,-3.7365E+002
177.0000,-3.7701E+002
178.0000,-3.7689E+002
179.0000,-3.7582E+002
180.0000,-3.7630E+002
181.0000,-3.7514E+002
182.0000,-3.7566E+002
183.0000,-3.7501E+002
184.0000,-3.7605E+002
185.0000,-3.7556E+002
186.0000,-3.7701E+002
187.0000,-3.7731E+002
188.0000,-3.8349E+002
189.0000,-3.9052E+002
190.0000,-3.9274E+002
191.0000,-3.9657E+002
192.0000,-4.0328E+002
193.0000,-4.0584E+002
194.0000,-4.0197E+002
195.0000,-4.0174E+002
196.0000,-4.0172E+002
197.0000,-4.0391E+002
198.0000,-4.0578E+002
199.0000,-4.0957E+002
200.0000,-4.1088E+002
201.0000,-4.1226E+002
202.0000,-4.0850E+002
203.0000,-4.0840E+002
204.0000,-4.0795E+002
